exposure_id,agent_id,campaign_id,post_id,cascade_depth,exposure_step,responded,action_type,created_at
1,Agent_116,campaign_hope,campaign_campaign_hope_Agent_116,0,400,0,,2025-11-08 08:43:19
2,Agent_105,campaign_hope,campaign_campaign_hope_Agent_105,0,400,1,comment,2025-11-08 08:43:19
3,Agent_093,campaign_hope,campaign_campaign_hope_Agent_093,0,400,1,comment,2025-11-08 08:43:19
4,Agent_199,campaign_hope,campaign_campaign_hope_Agent_199,0,400,1,post,2025-11-08 08:43:19
5,Agent_154,campaign_hope,campaign_campaign_hope_Agent_154,0,400,1,comment,2025-11-08 08:43:19
6,Agent_076,campaign_hope,campaign_campaign_hope_Agent_076,0,400,1,post,2025-11-08 08:43:19
7,Agent_064,campaign_hope,campaign_campaign_hope_Agent_064,0,400,1,comment,2025-11-08 08:43:19
8,Agent_094,campaign_hope,campaign_campaign_hope_Agent_094,0,400,0,,2025-11-08 08:43:19
9,Agent_095,campaign_hope,campaign_campaign_hope_Agent_095,0,400,0,,2025-11-08 08:43:19
10,Agent_123,campaign_hope,campaign_campaign_hope_Agent_123,0,400,0,,2025-11-08 08:43:19
11,Agent_197,campaign_hope,campaign_campaign_hope_Agent_197,0,400,0,,2025-11-08 08:43:19
12,Agent_161,campaign_hope,campaign_campaign_hope_Agent_161,0,400,1,comment,2025-11-08 08:43:19
13,Agent_120,campaign_hope,campaign_campaign_hope_Agent_120,0,400,0,,2025-11-08 08:43:19
14,Agent_158,campaign_hope,campaign_campaign_hope_Agent_158,0,400,0,,2025-11-08 08:43:19
15,Agent_097,campaign_hope,campaign_campaign_hope_Agent_097,0,400,1,comment,2025-11-08 08:43:19
16,Agent_159,campaign_hope,campaign_campaign_hope_Agent_159,0,400,1,comment,2025-11-08 08:43:19
17,Agent_007,campaign_hope,campaign_campaign_hope_Agent_007,0,400,0,,2025-11-08 08:43:19
18,Agent_046,campaign_hope,campaign_campaign_hope_Agent_046,0,400,1,comment,2025-11-08 08:43:19
19,Agent_002,campaign_hope,campaign_campaign_hope_Agent_002,0,400,0,,2025-11-08 08:43:19
20,Agent_131,campaign_hope,campaign_campaign_hope_Agent_131,0,400,1,comment,2025-11-08 08:43:19
21,Agent_145,campaign_hope,campaign_campaign_hope_Agent_145,0,400,0,,2025-11-08 08:43:19
22,Agent_106,campaign_hope,campaign_campaign_hope_Agent_106,0,400,0,,2025-11-08 08:43:19
23,Agent_181,campaign_hope,campaign_campaign_hope_Agent_181,0,400,1,comment,2025-11-08 08:43:19
24,Agent_170,campaign_hope,campaign_campaign_hope_Agent_170,0,400,0,,2025-11-08 08:43:19
25,Agent_150,campaign_hope,campaign_campaign_hope_Agent_150,0,400,1,comment,2025-11-08 08:43:19
26,Agent_003,campaign_hope,campaign_campaign_hope_Agent_003,0,400,0,,2025-11-08 08:43:19
27,Agent_038,campaign_hope,campaign_campaign_hope_Agent_038,0,400,0,,2025-11-08 08:43:19
28,Agent_067,campaign_hope,campaign_campaign_hope_Agent_067,0,400,1,comment,2025-11-08 08:43:19
29,Agent_112,campaign_hope,campaign_campaign_hope_Agent_112,0,400,1,comment,2025-11-08 08:43:19
30,Agent_048,campaign_hope,campaign_campaign_hope_Agent_048,0,400,0,,2025-11-08 08:43:19
31,Agent_058,campaign_hope,campaign_campaign_hope_Agent_058,0,400,1,comment,2025-11-08 08:43:19
32,Agent_190,campaign_hope,campaign_campaign_hope_Agent_190,0,400,1,comment,2025-11-08 08:43:19
33,Agent_037,campaign_hope,campaign_campaign_hope_Agent_037,0,400,0,,2025-11-08 08:43:19
34,Agent_174,campaign_hope,campaign_campaign_hope_Agent_174,0,400,1,comment,2025-11-08 08:43:19
35,Agent_135,campaign_hope,campaign_campaign_hope_Agent_135,0,400,0,,2025-11-08 08:43:19
36,Agent_186,campaign_hope,campaign_campaign_hope_Agent_186,0,400,1,comment,2025-11-08 08:43:19
37,Agent_111,campaign_hope,campaign_campaign_hope_Agent_111,0,400,0,,2025-11-08 08:43:19
38,Agent_136,campaign_hope,campaign_campaign_hope_Agent_136,0,400,0,,2025-11-08 08:43:19
39,Agent_004,campaign_hope,campaign_campaign_hope_Agent_004,0,400,0,,2025-11-08 08:43:19
40,Agent_063,campaign_hope,campaign_campaign_hope_Agent_063,0,400,1,comment,2025-11-08 08:43:19
41,Agent_101,campaign_hope,campaign_campaign_hope_Agent_101,0,400,1,post,2025-11-08 08:43:19
42,Agent_008,campaign_hope,campaign_campaign_hope_Agent_008,0,400,1,comment,2025-11-08 08:43:19
43,Agent_121,campaign_hope,campaign_campaign_hope_Agent_121,0,400,0,,2025-11-08 08:43:19
44,Agent_078,campaign_hope,campaign_campaign_hope_Agent_078,0,400,1,comment,2025-11-08 08:43:19
45,Agent_099,campaign_hope,campaign_campaign_hope_Agent_099,0,400,0,,2025-11-08 08:43:19
46,Agent_172,campaign_hope,campaign_campaign_hope_Agent_172,0,400,1,comment,2025-11-08 08:43:19
47,Agent_114,campaign_hope,campaign_campaign_hope_Agent_114,0,400,1,comment,2025-11-08 08:43:19
48,Agent_119,campaign_hope,campaign_campaign_hope_Agent_119,0,400,1,comment,2025-11-08 08:43:19
49,Agent_187,campaign_hope,campaign_campaign_hope_Agent_187,0,400,0,,2025-11-08 08:43:19
50,Agent_167,campaign_hope,campaign_campaign_hope_Agent_167,0,400,1,comment,2025-11-08 08:43:19
51,Agent_026,campaign_hope,campaign_campaign_hope_Agent_026,0,400,1,comment,2025-11-08 08:43:19
